"";"dummy";"Species";"chao";"chao.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"n";"mid_lat";"chao_upper";"chao_lower";"jack1_upper";"jack1_lower"
"1";1;17;149,222222222222;66,1411895359834;33,5277777777778;4,24418629232396;49,5833333333333;23,1660705628202;1,83378743479118;36;-79,500000005;278,85895371275;19,5854907316948;41,8463829107327;25,2091726448228
"2";2;108;115,368421052632;4,22446906639624;131,333333333333;6,33917858915374;119,136507936508;122,710544957426;5,04872415512825;36;-76,500000005;123,648380422768;107,088461682495;143,758123368075;118,908543298592
"3";3;132;146,291666666667;8,1739550810282;152,416666666667;5,6139294352266;158,488095238095;142,777242184554;3,83573886552974;36;-73,500000005;162,312618625482;130,270714707851;163,419968359711;141,413364973623
"4";4;198;213,772334834835;6,28024824925715;245,638888888889;10,1343216501472;224,024603174603;227,857669202148;8,02241938105688;36;-70,500000005;226,081621403379;201,463048266291;265,502159323177;225,7756184546
"5";5;170;187,15;7,14451654534208;210,833333333333;9,08167670927851;204,626984126984;193,967616189372;6,7535664097657;36;-67,500000005;201,15325242887;173,14674757113;228,633419683519;193,033246983147
"6";6;70;86,8055555555556;9,39836154526148;91,3888888888889;5,86565121683269;99,3222222222222;80,6631172268746;3,49393629483814;36;-64,500000005;105,226344184268;68,3847669268431;102,885565273881;79,8922125038968
"7";7;64;65,4583333333333;1,74739389282058;69,8333333333333;2,3814483610392;64,4904761904762;69,0144187558682;2,88272833790395;36;-61,500000005;68,8832253632617;62,033441303405;74,5009721209702;65,1656945456965
"8";8;27;120,333333333333;66,6999916708307;50,3333333333333;4,7628967220784;70,2476190476191;36,0882820380435;1,85279707404813;36;-58,500000005;251,065317008162;-10,3986503414949;59,668610908607;40,9980557580597
"9";9;120;150,815217391304;11,0361810590757;172,5;11,687481431952;181,296825396825;146,120693653565;6,15368898856134;36;-55,500000005;172,446132267093;129,184302515516;195,407463606626;149,592536393374
"10";10;101;135,172297297297;12,5427633037672;150,583333333333;10,3217901476368;164,803968253968;124,791817269012;5,51712847419508;36;-52,500000005;159,756113372681;110,588481221914;170,814042022701;130,352624643965
"11";11;61;82,6132478632479;9,72299565780051;94,0555555555556;7,70451607183959;102,312698412698;76,6971778186473;3,77528810979131;36;-49,500000005;101,670319352537;63,5561763739589;109,156407056361;78,95470405475
"12";12;49;55,9135802469136;4,6387929435257;64,5555555555556;4,5778586832117;63,152380952381;57,6985812982232;2,87844556652235;36;-46,500000005;65,005614416224;46,8215460776032;73,5281585746505;55,5829525364606
"13";13;131;142,552734375;5,22751588398791;168,916666666667;8,47722984977557;147,03253968254;154,455033652738;6,73096376628743;36;-43,500000005;152,798665507616;132,306803242384;185,532037172227;152,301296161107
"14";14;232;628,122685185185;86,7459985468724;411,861111111111;32,4016198535783;548,05;304,684796447944;12,2654097531887;36;-40,500000005;798,144842337055;458,100528033315;475,368286024125;348,353936198098
"15";15;145;161,055555555556;7,3312948104604;178,055555555556;8,8771624039261;178,055555555556;163,682350643927;6,04045205507615;36;-37,500000005;175,424893384058;146,686217727053;195,454793867251;160,65631724386
"16";16;259;299,249108053007;11,1050233111769;351,361111111111;17,6482914571928;341,080158730159;309,342234499884;11,650524943561;36;-34,500000005;321,014953742914;277,4832623631;385,951762367209;316,770459855013
"17";17;183;451,454861111111;65,687340627882;320,083333333333;24,5729733349165;420,221428571429;239,002685087186;9,47687240629523;36;-31,500000005;580,20204874176;322,707673480462;368,24636106977;271,920305596897
"18";18;136;385,557291666667;71,3357667834707;243,916666666667;18,9642084913582;326,730952380952;179,370356205576;7,11715508432937;36;-28,500000005;525,375394562269;245,739188771064;281,086515309729;206,746818023605
"19";19;25;33,1018518518518;6,73036802821014;34,7222222222222;3,37588580053763;38,6619047619048;29,7178691282337;1,76574122829189;36;-25,500000005;46,2933731871437;19,91033051656;41,338958391276;28,1054860531685
"20";20;84;105,935763888889;9,36070811042182;120,944444444444;8,06751985080978;127,474603174603;102,45225629781;4,61868302130598;36;-22,500000005;124,282751785316;87,5887759924621;136,756783352032;105,132105536857
"21";21;17;29,1527777777778;16,673175812264;21,8611111111111;2,58273589268396;25,665873015873;19,0709008566751;1,32304328360687;36;-19,500000005;61,8322023698153;-3,52664681425974;26,9232734607717;16,7989487614505
"22";22;9;9,38888888888889;0,84947332993544;10,9444444444444;1,37492985230718;8,24603174603175;10,451380637805;1,06147197572319;36;-16,500000005;11,0538566155624;7,72392116221543;13,6393069549665;8,24958193392238
"23";23;16;25,7222222222222;8,15077819506734;25,7222222222222;3,37588580053763;30,5793650793651;20,2802406018403;1,69415684044638;36;-13,500000005;41,6977474845542;9,74669695989024;32,338958391276;19,1054860531685
"24";24;15;15,9722222222222;1,82627006373072;16,9444444444444;1,37492985230718;16,9984126984127;16,4606526404363;1,01777607650359;36;-10,500000005;19,5517115471344;12,39273289731;19,6393069549665;14,2495819339224
"25";25;4;6,91666666666667;4,22754637058946;6,91666666666667;1,68393828513641;9,75;5,13174268222179;0,838935551926547;36;-7,500000005;15,202657553022;-1,36932421968868;10,217185705534;3,61614762779931
"26";26;5;7,1875;3,31063233511868;7,91666666666667;1,68393828513641;8,91507936507936;6,34362426163708;0,925711249197945;36;-4,500000005;13,6763393768326;0,698660623167396;11,217185705534;4,61614762779931
"27";27;6;18,1527777777778;16,673175812264;10,8611111111111;2,1739549781248;14,665873015873;7,94129724669329;1,07876304109788;36;1,499999995;50,8322023698153;-14,5266468142597;15,1220628682357;6,60015935398651
"28";28;3;3,97222222222222;2,06733366746118;4,94444444444444;1,37492985230718;6,83333333333333;3,72542823486811;0,674302776964472;36;4,499999995;8,02419621044614;-0,0797517660016904;7,63930695496651;2,24958193392238
"29";29;9;9,97222222222222;2,20148923667065;10,9444444444444;1,37492985230718;12,8333333333333;9,88466955691487;0,773146235962936;36;7,499999995;14,2871411260967;5,65730331834775;13,6393069549665;8,24958193392238
"30";30;54;182,576388888889;60,271202248314;98,7222222222222;8,52329777364792;134,826984126984;71,7066381721888;3,23756964681417;36;10,499999995;300,707945295584;64,4448324821934;115,427885858572;82,0165585858723
"31";31;36;41,1851851851852;4,80721147045018;43,7777777777778;3,08320820566925;45,8285714285714;40,1068547716704;1,8519431024662;36;13,499999995;50,6073196672675;31,7630507031028;49,8208658608895;37,7346896946661
"32";32;15;16,1111111111111;1,58809503978168;18,8888888888889;1,94444444444444;16,2444444444444;17,4903123142155;1,24877298058403;36;16,499999995;19,2237773890832;12,998444833139;22,7;15,0777777777778
