"";"dummy";"Species";"chao";"chao.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"n";"mid_lat";"chao_upper";"chao_lower";"jack1_upper";"jack1_lower"
"1";1;17;17;0;17;0;17;17;0;1;-79,500000005;17;17;17;17
"2";2;32;207,208333333333;140,56453947189;56,1666666666667;17,4682251213135;74,4333333333333;41,9032493141289;8,61518878389497;6;-76,500000005;482,714830698237;-68,2981640315705;90,4043879044412;21,9289454288922
"3";3;32;207,208333333333;140,56453947189;56,1666666666667;17,4682251213135;74,4333333333333;41,9032493141289;8,61518878389497;6;-73,500000005;482,714830698237;-68,2981640315705;90,4043879044412;21,9289454288922
"4";4;32;207,208333333333;140,56453947189;56,1666666666667;17,4682251213135;74,4333333333333;41,9032493141289;8,61518878389497;6;-70,500000005;482,714830698237;-68,2981640315705;90,4043879044412;21,9289454288922
"5";5;20;89,4285714285714;59,5883840207475;35,4285714285714;11,3173156116219;47,0952380952381;26,3082291999325;5,79661085054402;7;-67,500000005;206,221804109237;-27,3646612520938;57,6105100273504;13,2466328297925
"6";6;29;129,148148148148;70,6143658207394;52,1111111111111;13,0336695987691;70,2916666666667;38,3199039584094;6,32436879016526;9;-64,500000005;267,552305156797;-9,25600886050097;77,6571035246985;26,5651186975238
"7";7;36;152,363636363636;72,0697550070545;65,0909090909091;14,6811849004992;88,3272727272727;47,6557595814932;6,98050465996578;11;-61,500000005;293,620356177463;11,1069165498095;93,8660314958875;36,3157866859307
"8";8;2;2,25;0,75;2,5;0,5;2,5;2,25;0,433012701892219;2;-58,500000005;3,72;0,78;3,48;1,52
"9";9;103;562,608695652174;181,703975750705;191,95652173913;38,2173665726784;269,025691699605;137,606002402266;18,2387167574157;23;-55,500000005;918,748488123555;206,468903180793;266,86256022158;117,050483256681
"10";10;115;832,51724137931;307,334105527824;213,48275862069;38,5162380630601;302,163793103448;152,91549934671;18,3054726507216;29;-52,500000005;1434,89208821385;230,142394544775;288,974585224287;137,990932017092
"11";11;98;612,897959183673;224,896846705857;180,857142857143;37,4783384148782;253,554761904762;130,158431518816;17,9732497647314;21;-49,500000005;1053,69577872715;172,100139640194;254,314686150304;107,399599563982
"12";12;132;588,577380952381;150,325209168659;243,166666666667;43,5851019398958;337,883908045977;175,456498672357;21,0329815261916;30;-46,500000005;883,214790922952;293,939970981809;328,593466468863;157,739866864471
"13";13;119;530,33064516129;145,641504545272;216,741935483871;38,5261779726193;300,374193548387;157,293412530208;18,8346549879547;31;-43,500000005;815,787994070024;244,873296252557;292,253244310205;141,230626657537
